State,SolarPotentialMW
Andhra Pradesh,5434.38
Arunachal Pradesh,14.85
Assam,230.74
Bihar,328.34
Chhattisgarh,1398.50
Goa,58.34
Gujarat,20093.26
Haryana,2107.82
Himachal Pradesh,217.22
Jammu & Kashmir,74.49
Jharkhand,199.87
Karnataka,9876.57
Kerala,1723.64
Ladakh,7.80
Madhay Pradesh,5265.37
Maharashtra,11827.63
Manipur,13.79
Meghalaya,4.28
Mizoram,30.39
Nagaland,3.17
Odisha,701.74
Punjab,1421.43
Rajasthan,29546.70
Sikkim,7.56
Tamil Nadu,10433.27
Telangana,4842.10
Tripura,21.24
Uttar Pradesh,3376.74
Uttarakhand,593.07
West Bengal,320.62
Andaman & Nicobar Islands,30.62
Chandigarh,78.85
Dadra & Nagar Haveli,97.90
Daman & Diu,97.90
Delhi,334.50
Lakshadweep,4.97
Puducherry,67.51
Others,45.01
